‾	overstrek
🦬	bison, bøffel, dyr, horn, okse, stor, visent
🐮	dyr, fjes, ku, kufjes
🐂	dyr, okse, stjernebilde, stjernetegn, tyren
🐃	bøffel, dyr, vannbøffel
🐄	dyr, ku
🐷	dyr, fjes, gris, grisefjes
🐖	dyr, gris
🐗	dyr, villsvin
🐽	dyr, gris, grisetryne, snute
🐏	bukk, dyr, stjernebilde, stjernetegn, væren
🐑	dyr, sau, søye
🐐	dyr, geit, steinbukken, stjernebilde, stjernetegn
🐪	dromedar, dyr, kamel, pukkel
🐫	dyr, kamel, pukkel
🦙	alpakka, dyr, guanaco, lama, ull
🦒	dyr, flekker, sjiraff
🐘	dyr, elefant
🦣	dyr, forhistorisk, istid, mammut, stor, støttenner, tundra, ull, utdødd
🦏	dyr, horn, nese, neshorn
🦛	dyr, flodhest
🐭	dyr, fjes, mus, musefjes
🐁	dyr, mus
🐀	dyr, rotte
🐹	dyr, fjes, hamster
🐰	dyr, fjes, kanin, kaninfjes
🐇	dyr, hare, kanin
🐿️	dyr, ekorn, jordekorn
🦫	bever, dam, dyr, tenner
🦔	dyr, pigger, piggsvin, pinnsvin
🦇	dyr, flaggermus, vampyr
🐻	bjørn, dyr, fjes
🐻‍❄	arktis, bjørn, dyr, hvit, isbjørn
🐨	dyr, koala, koalabjørn
🐼	dyr, fjes, panda
🦥	dovendyr, dyr, henge, lat, treg
🦦	dyr, fisker, lekende, oter
🦨	dyr, stank, stinkdyr, stinke
🦘	Australia, dyr, hoppe, kenguru, pungdyr
🦡	grevling, skadedyr
🐾	avtrykk, dyr, poteavtrykk, poter, spor
🦃	fugl, kalkun
🐔	dyr, fugl, høne
🐓	dyr, fugl, hane
🐣	dyr, fugl, klekking, kylling, nyklekket kylling
🐤	baby, dyr, fugl, kylling
🐥	baby, dyr, fugl, kylling, kylling forfra
🐦️	dyr, fugl
🐧	dyr, fugl, pingvin
🕊️	due, dyr, fly, fred, fredsdue, fugl
🦅	dyr, fugl, ørn
🦆	and, dyr, fugl
🦢	den stygge andungen, dyr, fugl, ornitologi, svane, vakker
🦉	dyr, fugl, ugle, vis
🦤	Mauritius, dodo, dronte, fugl, stor, utdødd
🪶	fjær, fjærdrakt, fjærpenn, fugl, lett
🦩	dyr, flamingo, fugl, prangende, tropisk
🦚	dyr, fugl, prangende, påfugl, stolt
🦜	dyr, fugl, papegøye, pirat, snakkende, snakker
🪽	engel, engleaktig, englevinge, fly, flyr, fugl, himmelsk, mytologi, vinge
🐦‍⬛	dyr, fugl, kra, kråke, nebb, ravn, svart, svart fugl
🪿	and, dum, dyr, fjærkre, fugl, gasse, gjess, gås, klukk, tute
🐦‍🔥	dyr, fantasy, fugl, føniks, gjenopplive, gjenoppstå, ildfugl, reinkarnasjon, udødelig
🐸	dyr, fjes, frosk
🐊	dyr, krokodille
🐢	dyr, skilpadde
🦎	dyr, firfisle, reptil, øgle
🐍	dyr, orm, slange, slangebæreren, stjernebilde, stjernetegn
🐲	drage, dragefjes, dyr, eventyr, fjes
🐉	drage, dyr, eventyr
🦕	brachiosaurus, brontosaurus, dinosaur, diplodocus, sauropod
🦖	T-Rex, Tyrannosaurus Rex, dinosaur
🐳	dyr, hval, sprutende hval, spruter
🐋	dyr, hval
🐬	delfin, dyr
🦭	dyr, hav, sel, sjøløve
🐟️	dyr, fisk, fiskene, stjernebilde, stjernetegn
🐠	dyr, fisk, tropisk, tropisk fisk
🐡	dyr, fisk, kulefisk
🦈	dyr, fisk, hai
🐙	blekksprut, bløtdyr, dyr
🐚	dyr, skjell, spiralskjell
🪸	dyr, hav, klimaendringer, korall, korallrev, rev
🪼	au, brennmanet, dyr, glassmanet, hav, havdyr, manet, plankton, sjø, tentakler
🐌	dyr, snegle
🦋	dyr, insekt, pen, sommer, sommerfugl
🐛	dyr, insekt, kryp, larve, åme
🐜	dyr, insekt, maur
🐝	bie, dyr, honningbie, insekt
🪲	bille, bug, dyr, insekt
🐞	bille, dyr, insekt, marihøne
🦗	dyr, gresshoppe, insekt
🪳	dyr, ekkel, insekt, kakerlakk, skadedyr, utøy
🕷️	dyr, edderkopp, insekt
🕸️	dyr, edderkopp, nett, spindelvev
🦂	dyr, skorpion, skorpionen, stjernebilde, stjernetegn
🦟	dyr, feber, insekt, malaria, mygg, sykdom, virus
🪰	dyr, ekkel, ekkelt, flue, forråtnelse, insekt, larver, råtne, sykdom
🪱	agn, dyr, leddorm, makk, mark, meitemakk, meitemark, parasitt
🦠	amøbe, bakterie, mikrobe, virus
💐	blomst, blomster, bukett, romantikk
🌸	blomst, kirsebær, kirsebærblomst
💮	blomst, blomsterstempel, hvit blomst, stempel
🪷	blomst, buddhisme, fred, hinduisme, lotus, lotusblomst, renhet, ro, sinnsro, skjønnhet
🏵️	plante, rosett
🌹	blomst, rose
🥀	blomst, tørket, vissen, vissen blomst
🌺	blomst, hibiskus
🌻	blomst, sol, solsikke
🌼	blomst, plante
🌷	blomst, tulipan
🪻	blomst, hyasint, klokkeblåstjerne, lavendel, lilla, lupin, plante, svibel, vår
🌱	plante, spire, ung
🪴	dyrke, grønn, hus, kjedelig, plante, potteplante, pynt, ubrukelig, vanne
🌲	barnåler, bartre, eviggrønt tre, gran, juletre, tre
🌳	blader, løvtre, tre
🌴	palme, palmetre, tre
🌵	kaktus, plante
🌾	aks, plante, ris, risplante, siv, strå
🌿	blader, plante, urt, urteblader
☘️	kløver, plante, trekløver
🍀	4, firkløver, flaks, hell, kløver, plante
🍁	blad, høstblad, lønn, lønneblad
🍂	blad, fallende, høstblad, løv
🍃	blader i vind, blåse, blåser, blåst, løv i vind, vind
🪹	bygge, grein, gren, heim, hjem, rede, reir, tomt, tomt rede
🪺	egg, fugl, grein, gren, heim, hjem, rede, rede med egg, reir, tomt
🍄	fluesopp, sopp
🪾	bladløst tre, dødt, stamme, tre, tørke, tørt, ufruktbart, vinter
🍇	drueklase, druer, frukt
🍈	cantaloupe, frukt, honningmelon, melon
🍉	frukt, melon, vannmelon
🍊	appelsin, c, frukt, klementin, mandarin, sitrus, vitamin
🍋	frukt, sitron, sitrus
🍋‍🟩	cocktail, drink, frukt, grønn, juice, key lime pie, lime, margarita, mat, mojito, salsa, sitrus, sur, tequila, tropisk
🍌	banan, frukt
🍍	ananas, frukt
🥭	frukt, mango, tropisk
🍎	diett, eple, frukt, helse, modent, rød, rødt, rødt eple
🍏	eple, frukt, grønn, grønt, grønt eple
🍐	frukt, pære
🍑	fersken, frukt
🍒	bær, kirsebær, moreller
🍓	bær, jordbær
🫐	blå, blåbær, bær, frukt, mat
🥝	frukt, kiwi, mat
🍅	frukt, grønnsak, tomat
🫒	mat, oliven
🥥	kokos, kokosnøtt, palme, piña colada
🥑	avokado, frukt, mat
🍆	aubergine, grønnsak
🥔	grønnsak, mat, potet
🥕	grønnsak, gulrot, mat, rot
🌽	mais, maiskolbe
🌶️	chili, rød chili, sterk
🫑	capsicum, chili, grønn, grønnsak, paprika
🥒	agurk, grønnsak, mat, sylteagurk
🥬	bladgrønnsaker, bladsalat, grønnkål, kinakål, kål, pak choy, salat
🥦	brokkoli, grønnsak
🧄	hvitløk, smakstilsetning
🧅	løk, smakstilsetning, tårer
🥜	grønnsak, mat, nøtt, peanøtt, peanøtter
🫘	belgfrukt, bønner, kidneybønner, mat, små
🌰	kastanje, kastanjenøtt, nøtt
🫚	helse, ingefær, ingefærrot, krydder, naturlig, rot, sunn, urt, øl
🫛	belg, bønne, bønner, ertebelg, erter, grønnsak, soyabønne, sukkerert
🍄‍🟫	brun sopp, mat, matsopp, natur, pizzafyll, portobello, sjampinjong, sopp, trøffel, vegetar, vegetarianer
🫜	bete, grønnsak, hage, kålrot, nepe, rotgrønnsak, turnips
🍞	brød, loff
🥐	brød, croissant, fransk, mat
🥖	bagett, baguette, brød, fransk, mat
🫓	arepa, brød, lavash, mat, nan, pita, pitabrød
🥨	saltkringle, saltstenger, snacks
🥯	bagel, bakst, frokost, påsmurt
🥞	crêpe, mat, pannekake, pannekaker
🧇	belgisk vaffel, jern, vaffel
🧀	ost, ostestykke
🍖	kjøtt med bein, kjøttbein, restaurant
🍗	fjærfe, fjærkre, kyllingklubbe, kyllinglår, restaurant
🥩	biff, kjøttstykke, lammekotelett, lammeskank, svinekotelett
🥓	bacon, kjøtt, mat
🍔	burger, hamburger, restaurant
🍟	chips, pommes frites, restaurant, stekte poteter
🍕	pizza, pizzabit, pizzastykke, restaurant
🌭	hot dog, hotdog, pølse, pølse med brød
🥪	brød, brødskive, sandwich, smørbrød
🌮	meksikansk, taco
🌯	burrito, meksikansk, wrap
🫔	latinamerikansk, mat, meksikansk, tamal, wrap
🥙	falafel, fylt pitabrød, gyro, kebab, mat, pita
🧆	falafel, kebab, kikerter, kjøttboller
🥚	egg, mat
🍳	egg, matlaging, steke, stekepanne
🥘	lav gryte med mat, mat, paella, stekepanne
🍲	gryte, gryterett, middag, middagsmat, panne
🫕	fondue, fondy, gryte, kos, mat, nam, ost, sjokolade, smeltet, sveitsisk
🥣	bolle med skje, congee, frokost, frokostblanding, grøt
🥗	grønn, grønn salat, mat, salat
🍿	kino, popcorn, popkorn
🧈	margarin, meieriprodukt, smør
🧂	bøsse, krydder, salt
🥫	boks, hermetikk, hermetisk mat
🍱	bento, bento-boks, boks, matboks
🍘	kjeks, ris, riskjeks
🍙	japansk, onigiri, restaurant, ris, risball
🍚	kokt, kokt ris, mat, ris
🍛	curry, karri, karriris, restaurant, ris
🍜	matbolle, matbolle som damper, nudelbolle, ramen, restaurant
🍝	pasta, restaurant, spagetti
🍠	bakt, bakt søtpotet, potet, restaurant, søtpotet
🍢	oden, restaurant, sjømat, sjømat på pinne, sjømatspyd
🍣	restaurant, sushi
🍤	fritert reke, grillet scampi, kongereke, restaurant, scampi, tempura
🍥	fisk, fiskekake med mønster, restaurant
🥮	festival, høst, månekake, yuebing
🍡	dango, japansk, restaurant, riskonfekt
🥟	dumpling, empanada, gyoza, jiaozi, melbolle, pirog
🥠	fortune cookie, lykkekake, spådom
🥡	bestille, boks, eske, hentemat, kinesisk, mat, spisepinner, takeaway, takeaway-eske
🦀	dyr, krabbe, krepsen, stjernebilde, stjernetegn
🦞	bisque, hummer, klør, kreps, sjømat, skalldyr
🦐	dyr, liten, mat, reke
🦑	akkar, blekk, blekksprut, bløtdyr, dyr, sprut
🦪	dykking, perle, østers
🍦	dessert, is, iskrem, restaurant, soft-is, softis
🍧	dessert, is, restaurant, shave-ice, slush-is
🍨	dessert, is, iskrem, restaurant
🍩	dessert, donut, restaurant, smultring
🍪	cookie, dessert, kjeks, restaurant
🎂	bløtkake, bursdag, bursdagskake, dessert, feiring, fødselsdag, gebursdag, gratulerer, kake, nam, selskap
🍰	dessert, formkake, kake, kakestykke
🧁	bakst, cupcake, søt
🥧	butterdeig, fyll, pai
🍫	sjokoladeplate
🍬	godteri, karamell, smågodt, sukkertøy, søtsaker
🍭	kjærlighet på pinne, sukkertøy
🍮	dessert, karamellpudding, pudding
🍯	honning, honningkrukke, krukke
🍼	babyflaske, drikke, melk, tåteflaske
🥛	drikke, glass, melk, melkeglass
☕️	drikke, kaffe, kaffekopp, koffein, morgen, rykende, te, tekopp, varm, varm drikke
🫖	drikke, kanne, te, tekanne, teselskap
🍵	drikke, suppe, te, tekopp
🍶	drikke, flaske, karaffel, mugge og kopp, sake
🍾	bar, drikke, flaske, flaske med sprettkork, kork, sprette
🍷	drikke, glass, rødvin, vin, vinglass
🍸️	bar, cocktaildrink, cocktailglass, drink
🍹	bar, drink, juice, tropisk drink
🍺	bar, halvliter, pils, pilsner, ølglass, ølkrus
🍻	bar, halvliter, pils, øl, ølglass, ølkrus, ølkrus som skåler
🥂	drink, feiring, glass, glass som skåler, skål
🥃	brennevin, glass, shot, sprit, whisky, whiskyglass
🫗	drikke, glass, helle ut, helle ut væske, helle væske, oops, søl, søle, tomt, tømme ut, tømme ut væske, uhell, vann
🥤	brus, juice, jus, kopp med sugerør
🧋	boble-te, bobler, kuler, melk, perler, taiwan, te
🧃	drikkekartong, juicekartong, juskartong
🧉	drikke, krukke, mate
🧊	chill, isbit, isterning, kald
🥢	hashi, spisepinner
🍽️	gaffel, kniv, matlaging, tallerken, tallerken med kniv og gaffel
🍴	bestikk, frokost, gaffel, kniv, kniv og gaffel, lunsj, mat, matlaging, middag, nam, namnam, restaurant, spise
🥄	bestikk, skje
🔪	kniv, kokkekniv, matlaging, verktøy, våpen
🫙	beholder, ingenting, krukke, mos, oppbevare, pålegg, syltetøy, tom
🏺	amfora, drikke, krukke, matlaging, stjernebilde, stjernetegn, vannmannen
🌍	Afrika, Europa, gaia, globus, jorda, jorden, jordklode med Europa og Afrika, klode, tellus, verden
🌎️	Amerika, USA, jorden, jordklode med Amerika, verden
🌏	Asia, Australia, jorden, jordklode med Asia og Australia, verden
🌐	jorden, jordklode med meridianer, lengde- og breddegrader, verden
🗺️	kart, verden, verdenskart
🗾	Japan, kart, kart over Japan
🧭	kompass, magnetisk, navigasjon, orientering
🏔️	fjell, kaldt, snø, snødekt fjell
⛰️	berg, fjell
🌋	utbrudd, vulkan, vulkanutbrudd
🗻	Fuji-fjellet, fjell, fuji
🏕️	camping, telttur
🏖️	parasoll, strand, strand med parasoll
🏜️	ørken
🏝️	øde, øde øy, øy
🏞️	nasjonalpark, park
🏟️	arena, stadion
🏛️	bygning, klassisk, klassisk bygning
🏗️	bygg, byggearbeid, bygging, bygning, bygning under konstruksjon
🧱	mur, murstein, mursteiner, mørtel, sement, vegg
🪨	berg, blokk, hard, kampestein, stein, steinblokk, steinrøys, tung, ur
🪵	hoggestabbe, hogst, huggestabbe, kubbe, stokk, tre, trelast, tømmer
🛖	heim, hjem, hus, hytte, jurt, jurte, overnatting, rundhus
🏘️	boliger, bygning, hus
🏚️	bygning, falleferdig, falleferdig hus, forlatt, hus
🏠️	bygning, hjem, hus
🏡	bygning, hjem, hus, hus med hage
🏢	bygning, kontor, kontorbygg
🏣	bygning, japansk, japansk postkontor, post
🏤	bygning, europeisk, post, postkontor
🏥	lege, medisin, sykehus
🏦	bank, bygning
🏨	bygning, hotell
🏩	bygning, hotell, kjærlighetshotell
🏪	butikk, bygning, dagligvare, dagligvarebutikk, storkiosk
🏫	bygning, skole, skolebygning
🏬	butikk, kjøpesenter, varehus
🏭️	bygning, fabrikk
🏯	bygning, japansk, japansk slott, slott
🏰	borg, bygning, europeisk slott, festning, slott
💒	bryllup, kapell, romantikk
🗼	Tokyo, Tokyo-tårnet, tårn
🗽	Frihetsgudinnen, frihet, statue
⛪️	bygning, kirke, kors, kristen, religion
🕌	bygning, islam, moské, muslim, religion
🛕	hindu, hindutempel, religion, tempel
🕍	bygning, jøde, jødisk, religion, synagoge, tempel
⛩️	Shinto-alter, alter, religion, shinto
🕋	Kaba, islam, muslim, religion
⛲️	fontene
⛺️	camping, telt, telttur
🌁	tåke, tåkete, vær
🌃	natt, stjernenatt, stjerner
🏙️	by, bylandskap
🌄	fjell, fjellsol, morgen, morgensol, sol, soloppgang over fjell
🌅	morgen, morgensol, sol, soloppgang
🌆	by, bygning, byhorisont, bylandskap i skumring, skumring, sol, solnedgang
🌇	bygning, skumring, sol, solnedgang, solnedgang over byhorisont
🌉	bro, bro om natten, natt
♨️	kilder, rykende, vame kilder, varm, varme kilder
🎠	fornøyelsespark, hest, karusell, karusellhest, tivoli
🛝	fornøyelsespark, leke, lekeplass, rutsjebane, skli, sklie
🎡	fornøyelsespark, pariserhjul, tivoli
🎢	berg-og-dal-bane, fornøyelsespark, tivoli
💈	barberer, barberersøyle, barberskilt, frisør, frisørsalong
🎪	sirkus, sirkustelt, telt, underholdning
🚂	fremkomstmiddel, lokmotiv, lokomotiv, tog
🚃	elektrisk, fremkomstmiddel, tog, togvogn, trikk
🚄	fremkomstmiddel, høyhastighetstog, lyntog, tog
🚅	fremkomstmiddel, høyhastighetstog med kulenese, lyntog, shinkansen, tog
🚆	fremkomstmiddel, jernbane, tog
🚇️	fremkomstmiddel, metro, t-bane, tunnelbane, undergrunnsbane
🚈	fremkomstmiddel, jernbane, lokaltog, tog
🚉	jernbane, stasjon, tog, togstasjon
🚊	fremkomstmiddel, trikk
🚝	fremkomstmiddel, monorail
🚞	bane, fjell, fjellbane, fremkomstmiddel
🚋	fremkomstmiddel, lokaltog, trikk, trikkevogn, trolleybuss, vogn
🚌	buss, fremkomstmiddel
🚍️	buss, fremkomstmiddel, motgående, motgående buss
🚎	buss, fremkomstmiddel, trolleybuss
🚐	buss, kjøretøy, minibuss, van
🚑️	ambulanse, bil, kjøretøy
🚒	bil, brannbil, kjøretøy
🚓	bil, kjøretøy, politibil
🚔️	bil, kjøretøy, motgående politibil
🚕	bil, kjøretøy, taxi
🚖	bil, drosje, kjøretøy, motgående, motgående taxi, taxi
🚗	bil, kjøretøy
🚘️	bil, kjøretøy, motgående, motgående bil
🚙	SUV, bil, kjøretøy
🛻	bil, frakt, lastebil, liten, pickup, transport, vare, varetransport
🚚	bil, kjøretøy, varebil
🚛	bil, kjøretøy, lastebil, trailer, trekkvogn
🚜	kjøretøy, traktor
🏎️	bil, billøp, motorsport, racerbil
🏍️	motorsport, motorsykkel, motorsyklist
🛵	motor, motorsykkel, scooter
🦽	manuell, manuell rullestol, rullestol, tilgjengelighet
🦼	motorisert, motorisert rullestol, rullestol, tilgjengelighet
🛺	autorickshaw, mototaxi, trehjuling, tuk-tuk
🚲️	kjøretøy, sykkel
🛴	spark, sparkesykkel, sykkel
🛹	brett, rullebrett, skateboard
🛼	gøy, hjul, rulle, rulleskøyter, skøyter, sport
🚏	buss, busstopp, holdeplass
🛣️	motorvei, vei
🛤️	jernbane, jernbanespor, tog
🛢️	fat, olje, oljefat, tønne
⛽️	bensin, bensinpumpe, bensinstasjon, diesel, stasjon
🛞	bil, bildekk, dekk, dreie, felg, hjul, kjøretøy, rulle, sirkel
🚨	bil, kjøretøy, lys, politi, politilys, roterende, signal
🚥	horisontale lys, horisontale trafikklys, trafikk
🚦	trafikk, vertikale lys, vertikale trafiklys
🛑	skilt, stopp, stoppskilt, åttekantet
🚧	anleggsarbeid, byggeplass, byggeskilt, skilt
⚓️	anker, båt, skip, verktøy
🛟	badering, flyte, livbøye, livredder, livredning, redde, redde liv, redningsbøye, svømme
⛵️	båt, seilbåt
🛶	båt, kano
🚤	båt, fartøy, speedbåt
🛳️	båt, fremkomstmiddel, passasjer, passasjerskip, skip
⛴️	båt, ferge, passasjer
🛥️	båt, fremkomstmiddel, motorbåt
🚢	båt, fartøy, fremkomstmiddel, skip
✈️	fly, fremkomstmiddel
🛩️	fly, fremkomstmiddel, lite fly
🛫	avgang, avganger, fly, fly som tar av, flyavgang, fremkomstmiddel, innsjekk
🛬	ankomme, ankomst, ankomster, fly, fly som lander, fremkomstmiddel, lande, landing
🪂	fallskjerm, fallskjermhopp, hangglider, hengeglider, paragliding
💺	sete, stol
🚁	fremkomstmiddel, helikopter
🚟	fremkomstmiddel, svevebane
🚠	fremkomstmiddel, kabelbane
🚡	fremkomstmiddel, gondolbane, taubane
🛰️	satellitt, verdensrommet
🚀	fremkomstmiddel, rakett, verdensrommet
🛸	UFO, alien, flyende, flygende, flygende tallerken, marsboer, tallerken
🛎️	hotell, klokke, pikkolo, resepsjonsklokke
🧳	bagasje, pakking, reise
⌛️	ferdig timeglass, sand, tidtaker
⏳️	sand, startet timeglass, tidtaker
⌚️	armbåndsur, ur
⏰️	alarm, klokke, vekkerklokke
⏱️	klokke, stoppeklokke
⏲️	klokke, nedtelling, tidtaker
🕰️	klokke, peisur
🕛️	0:00, 12:00, 24:00, klokka, klokken tolv, tolv
🕧	0:30, 12:30, halv ett, klokka, klokken, klokken halv ett
🕐️	1, 13:00, 1:00, ett, klokka, klokken, klokken ett, tretten
🕜	13:30, 1:30, halv to, klokka, klokken, klokken halv to
🕑️	14:00, 2, 2:00, fjorten, klokka, klokken, klokken to, to
🕝	14:30, 2:30, halv tre, klokka, klokken, klokken halv tre
🕒️	15:00, 3, 3:00, femten, klokka, klokken, klokken tre, tre
🕞	15:30, 3:30, halv fire, klokka, klokken, klokken halv fire
🕓️	16:00, 4, 4:00, fire, klokka, klokken, klokken fire, seksten
🕟	16:30, 4:30, halv fem, klokka, klokken, klokken halv fem
🕔️	17:00, 5, 5:00, fem, klokka, klokken, klokken fem, sytten
🕠	17:30, 5:30, halv seks, klokka, klokken, klokken halv seks
🕕️	18:00, 6, 6:00, atten, klokka, klokken, klokken seks, seks
🕡	18:30, 6:30, halv sju, halv syv, klokka, klokken, klokken halv sju
🕖️	19:00, 7, 7:00, klokka, klokken, klokken sju, nitten, sju, syv
