‾	ۇستىڭگى سىزىق
🙇🏻‍♀	1–2 تەرى ءتۇسى, ءوتىنۋ, ايەل, باس يۋ, باسىن ءيىپ تۇرعان ايەل, باسىن ءيىپ تۇرعان ايەل: 1–2 تەرى ءتۇسى, باعىنۋ, كەشىرىم, كەشىرىم سۇراۋ
🙇🏼‍♀	3-تەرى ءتۇرى, ءوتىنۋ, ايەل, باس يۋ, باسىن ءيىپ تۇرعان ايەل, باسىن ءيىپ تۇرعان ايەل: 3-تەرى ءتۇرى, باعىنۋ, كەشىرىم, كەشىرىم سۇراۋ
🙇🏽‍♀	4-تەرى ءتۇسى, ءوتىنۋ, ايەل, باس يۋ, باسىن ءيىپ تۇرعان ايەل, باسىن ءيىپ تۇرعان ايەل: 4-تەرى ءتۇسى, باعىنۋ, كەشىرىم, كەشىرىم سۇراۋ
🙇🏾‍♀	5-تەرى ءتۇسى, ءوتىنۋ, ايەل, باس يۋ, باسىن ءيىپ تۇرعان ايەل, باسىن ءيىپ تۇرعان ايەل: 5-تەرى ءتۇسى, باعىنۋ, كەشىرىم, كەشىرىم سۇراۋ
🙇🏿‍♀	6-تەرى ءتۇسى, ءوتىنۋ, ايەل, باس يۋ, باسىن ءيىپ تۇرعان ايەل, باسىن ءيىپ تۇرعان ايەل: 6-تەرى ءتۇسى, باعىنۋ, كەشىرىم, كەشىرىم سۇراۋ
🤦	ءتۇڭىلۋ, ءسوزىم جوق, الاقان, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ادام, بەلگى, تۇڭىلگەندىك, تۇڭىلگەندىك بەلگىسى, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, ۇيات
🤦🏻	1–2 تەرى ءتۇسى, ءتۇڭىلۋ, ءسوزىم جوق, الاقان, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ادام, بەتىن قولمەن جاپقان ادام: 1–2 تەرى ءتۇسى, بەلگى, تۇڭىلگەندىك, تۇڭىلگەندىك بەلگىسى, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, ۇيات
🤦🏼	3-تەرى ءتۇرى, ءتۇڭىلۋ, ءسوزىم جوق, الاقان, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ادام, بەتىن قولمەن جاپقان ادام: 3-تەرى ءتۇرى, بەلگى, تۇڭىلگەندىك, تۇڭىلگەندىك بەلگىسى, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, ۇيات
🤦🏽	4-تەرى ءتۇسى, ءتۇڭىلۋ, ءسوزىم جوق, الاقان, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ادام, بەتىن قولمەن جاپقان ادام: 4-تەرى ءتۇسى, بەلگى, تۇڭىلگەندىك, تۇڭىلگەندىك بەلگىسى, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, ۇيات
🤦🏾	5-تەرى ءتۇسى, ءتۇڭىلۋ, ءسوزىم جوق, الاقان, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ادام, بەتىن قولمەن جاپقان ادام: 5-تەرى ءتۇسى, بەلگى, تۇڭىلگەندىك, تۇڭىلگەندىك بەلگىسى, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, ۇيات
🤦🏿	6-تەرى ءتۇسى, ءتۇڭىلۋ, ءسوزىم جوق, الاقان, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ادام, بەتىن قولمەن جاپقان ادام: 6-تەرى ءتۇسى, بەلگى, تۇڭىلگەندىك, تۇڭىلگەندىك بەلگىسى, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, ۇيات
🤦‍♂	ءتۇڭىلۋ, ءسوزىم جوق, الاقان, ايتۋعا ءسوز تاپپاي تۇرعان ەر, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ەر ادام, دولدانۋ, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, وكىنۋ, ۇيات, ەر, ەر ادام
🤦🏻‍♂	1–2 تەرى ءتۇسى, ءتۇڭىلۋ, ءسوزىم جوق, الاقان, ايتۋعا ءسوز تاپپاي تۇرعان ەر, ايتۋعا ءسوز تاپپاي تۇرعان ەر: 1–2 تەرى ءتۇسى, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ەر ادام, دولدانۋ, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, وكىنۋ, ۇيات, ەر, ەر ادام
🤦🏼‍♂	3-تەرى ءتۇرى, ءتۇڭىلۋ, ءسوزىم جوق, الاقان, ايتۋعا ءسوز تاپپاي تۇرعان ەر, ايتۋعا ءسوز تاپپاي تۇرعان ەر: 3-تەرى ءتۇرى, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ەر ادام, دولدانۋ, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, وكىنۋ, ۇيات, ەر, ەر ادام
🤦🏽‍♂	4-تەرى ءتۇسى, ءتۇڭىلۋ, ءسوزىم جوق, الاقان, ايتۋعا ءسوز تاپپاي تۇرعان ەر, ايتۋعا ءسوز تاپپاي تۇرعان ەر: 4-تەرى ءتۇسى, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ەر ادام, دولدانۋ, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, وكىنۋ, ۇيات, ەر, ەر ادام
🤦🏾‍♂	5-تەرى ءتۇسى, ءتۇڭىلۋ, ءسوزىم جوق, الاقان, ايتۋعا ءسوز تاپپاي تۇرعان ەر, ايتۋعا ءسوز تاپپاي تۇرعان ەر: 5-تەرى ءتۇسى, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ەر ادام, دولدانۋ, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, وكىنۋ, ۇيات, ەر, ەر ادام
🤦🏿‍♂	6-تەرى ءتۇسى, ءتۇڭىلۋ, ءسوزىم جوق, الاقان, ايتۋعا ءسوز تاپپاي تۇرعان ەر, ايتۋعا ءسوز تاپپاي تۇرعان ەر: 6-تەرى ءتۇسى, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ەر ادام, دولدانۋ, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, وكىنۋ, ۇيات, ەر, ەر ادام
🤦‍♀	ءتۇڭىلۋ, ءسوزىم جوق, الاقان, ايتۋعا ءسوز تاپپاي تۇرعان ايەل, ايەل, ايەل ادام, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ايەل ادام, دولدانۋ, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, وكىنۋ, ۇيات
🤦🏻‍♀	1–2 تەرى ءتۇسى, ءتۇڭىلۋ, ءسوزىم جوق, الاقان, ايتۋعا ءسوز تاپپاي تۇرعان ايەل, ايتۋعا ءسوز تاپپاي تۇرعان ايەل: 1–2 تەرى ءتۇسى, ايەل, ايەل ادام, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ايەل ادام, دولدانۋ, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, وكىنۋ, ۇيات
🤦🏼‍♀	3-تەرى ءتۇرى, ءتۇڭىلۋ, ءسوزىم جوق, الاقان, ايتۋعا ءسوز تاپپاي تۇرعان ايەل, ايتۋعا ءسوز تاپپاي تۇرعان ايەل: 3-تەرى ءتۇرى, ايەل, ايەل ادام, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ايەل ادام, دولدانۋ, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, وكىنۋ, ۇيات
🤦🏽‍♀	4-تەرى ءتۇسى, ءتۇڭىلۋ, ءسوزىم جوق, الاقان, ايتۋعا ءسوز تاپپاي تۇرعان ايەل, ايتۋعا ءسوز تاپپاي تۇرعان ايەل: 4-تەرى ءتۇسى, ايەل, ايەل ادام, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ايەل ادام, دولدانۋ, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, وكىنۋ, ۇيات
🤦🏾‍♀	5-تەرى ءتۇسى, ءتۇڭىلۋ, ءسوزىم جوق, الاقان, ايتۋعا ءسوز تاپپاي تۇرعان ايەل, ايتۋعا ءسوز تاپپاي تۇرعان ايەل: 5-تەرى ءتۇسى, ايەل, ايەل ادام, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ايەل ادام, دولدانۋ, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, وكىنۋ, ۇيات
🤦🏿‍♀	6-تەرى ءتۇسى, ءتۇڭىلۋ, ءسوزىم جوق, الاقان, ايتۋعا ءسوز تاپپاي تۇرعان ايەل, ايتۋعا ءسوز تاپپاي تۇرعان ايەل: 6-تەرى ءتۇسى, ايەل, ايەل ادام, بەت, بەتىم-اي, بەتىن قولمەن جابۋ, بەتىن قولمەن جاپقان ايەل ادام, دولدانۋ, سەنبەۋ, سەنە الار ەمەسپىن, شوك, فەيسپالم, قول, ماسقارا, وكىنۋ, ۇيات
🤷	ادام, بىلمەيمىن, بىلمەگەندىك, بىلمەگەندىك بەلگىسى, بىلمەۋ, بەلگى, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرۋ
🤷🏻	1–2 تەرى ءتۇسى, ادام, بىلمەيمىن, بىلمەگەندىك, بىلمەگەندىك بەلگىسى, بىلمەگەندىك بەلگىسى: 1–2 تەرى ءتۇسى, بىلمەۋ, بەلگى, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرۋ
🤷🏼	3-تەرى ءتۇرى, ادام, بىلمەيمىن, بىلمەگەندىك, بىلمەگەندىك بەلگىسى, بىلمەگەندىك بەلگىسى: 3-تەرى ءتۇرى, بىلمەۋ, بەلگى, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرۋ
🤷🏽	4-تەرى ءتۇسى, ادام, بىلمەيمىن, بىلمەگەندىك, بىلمەگەندىك بەلگىسى, بىلمەگەندىك بەلگىسى: 4-تەرى ءتۇسى, بىلمەۋ, بەلگى, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرۋ
🤷🏾	5-تەرى ءتۇسى, ادام, بىلمەيمىن, بىلمەگەندىك, بىلمەگەندىك بەلگىسى, بىلمەگەندىك بەلگىسى: 5-تەرى ءتۇسى, بىلمەۋ, بەلگى, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرۋ
🤷🏿	6-تەرى ءتۇسى, ادام, بىلمەيمىن, بىلمەگەندىك, بىلمەگەندىك بەلگىسى, بىلمەگەندىك بەلگىسى: 6-تەرى ءتۇسى, بىلمەۋ, بەلگى, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرۋ
🤷‍♂	بىلمەيمىن, بىلمەۋ, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرىپ تۇرعان ەر, يىعىن كوتەرۋ, ەر, ەر ادام
🤷🏻‍♂	1–2 تەرى ءتۇسى, بىلمەيمىن, بىلمەۋ, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرىپ تۇرعان ەر, يىعىن كوتەرىپ تۇرعان ەر: 1–2 تەرى ءتۇسى, يىعىن كوتەرۋ, ەر, ەر ادام
🤷🏼‍♂	3-تەرى ءتۇرى, بىلمەيمىن, بىلمەۋ, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرىپ تۇرعان ەر, يىعىن كوتەرىپ تۇرعان ەر: 3-تەرى ءتۇرى, يىعىن كوتەرۋ, ەر, ەر ادام
🤷🏽‍♂	4-تەرى ءتۇسى, بىلمەيمىن, بىلمەۋ, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرىپ تۇرعان ەر, يىعىن كوتەرىپ تۇرعان ەر: 4-تەرى ءتۇسى, يىعىن كوتەرۋ, ەر, ەر ادام
🤷🏾‍♂	5-تەرى ءتۇسى, بىلمەيمىن, بىلمەۋ, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرىپ تۇرعان ەر, يىعىن كوتەرىپ تۇرعان ەر: 5-تەرى ءتۇسى, يىعىن كوتەرۋ, ەر, ەر ادام
🤷🏿‍♂	6-تەرى ءتۇسى, بىلمەيمىن, بىلمەۋ, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرىپ تۇرعان ەر, يىعىن كوتەرىپ تۇرعان ەر: 6-تەرى ءتۇسى, يىعىن كوتەرۋ, ەر, ەر ادام
🤷‍♀	ايەل, ايەل ادام, بىلمەيمىن, بىلمەۋ, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كىم بىلەدى, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرىپ تۇرعان ايەل, يىعىن كوتەرۋ
🤷🏻‍♀	1–2 تەرى ءتۇسى, ايەل, ايەل ادام, بىلمەيمىن, بىلمەۋ, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كىم بىلەدى, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرىپ تۇرعان ايەل, يىعىن كوتەرىپ تۇرعان ايەل: 1–2 تەرى ءتۇسى, يىعىن كوتەرۋ
🤷🏼‍♀	3-تەرى ءتۇرى, ايەل, ايەل ادام, بىلمەيمىن, بىلمەۋ, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كىم بىلەدى, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرىپ تۇرعان ايەل, يىعىن كوتەرىپ تۇرعان ايەل: 3-تەرى ءتۇرى, يىعىن كوتەرۋ
🤷🏽‍♀	4-تەرى ءتۇسى, ايەل, ايەل ادام, بىلمەيمىن, بىلمەۋ, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كىم بىلەدى, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرىپ تۇرعان ايەل, يىعىن كوتەرىپ تۇرعان ايەل: 4-تەرى ءتۇسى, يىعىن كوتەرۋ
🤷🏾‍♀	5-تەرى ءتۇسى, ايەل, ايەل ادام, بىلمەيمىن, بىلمەۋ, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كىم بىلەدى, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرىپ تۇرعان ايەل, يىعىن كوتەرىپ تۇرعان ايەل: 5-تەرى ءتۇسى, يىعىن كوتەرۋ
🤷🏿‍♀	6-تەرى ءتۇسى, ايەل, ايەل ادام, بىلمەيمىن, بىلمەۋ, سولاي شىعار, قۇداي ءبىلسىن, كىم ءبىلسىن, كىم بىلەدى, كۇدىكتەنۋ, كۇمان, كۇماندانۋ, مۇمكىن, مەن قايدان بىلەمىن, يىعىن كوتەرىپ تۇرعان ايەل, يىعىن كوتەرىپ تۇرعان ايەل: 6-تەرى ءتۇسى, يىعىن كوتەرۋ
🧑‍⚕	تەراپەۆت, دارىگەر, دەنساۋلىق ساقتاۋ, مەدبيكە, مەديتسينالىق قىزمەتكەر
🧑🏻‍⚕	1–2 تەرى ءتۇسى, تەراپەۆت, دارىگەر, دەنساۋلىق ساقتاۋ, مەدبيكە, مەديتسينالىق قىزمەتكەر, مەديتسينالىق قىزمەتكەر: 1–2 تەرى ءتۇسى
🧑🏼‍⚕	3-تەرى ءتۇرى, تەراپەۆت, دارىگەر, دەنساۋلىق ساقتاۋ, مەدبيكە, مەديتسينالىق قىزمەتكەر, مەديتسينالىق قىزمەتكەر: 3-تەرى ءتۇرى
🧑🏽‍⚕	4-تەرى ءتۇسى, تەراپەۆت, دارىگەر, دەنساۋلىق ساقتاۋ, مەدبيكە, مەديتسينالىق قىزمەتكەر, مەديتسينالىق قىزمەتكەر: 4-تەرى ءتۇسى
🧑🏾‍⚕	5-تەرى ءتۇسى, تەراپەۆت, دارىگەر, دەنساۋلىق ساقتاۋ, مەدبيكە, مەديتسينالىق قىزمەتكەر, مەديتسينالىق قىزمەتكەر: 5-تەرى ءتۇسى
🧑🏿‍⚕	6-تەرى ءتۇسى, تەراپەۆت, دارىگەر, دەنساۋلىق ساقتاۋ, مەدبيكە, مەديتسينالىق قىزمەتكەر, مەديتسينالىق قىزمەتكەر: 6-تەرى ءتۇسى
👨‍⚕	دارىگەر, دەنساۋلىق, مەديتسينا, ەر
👨🏻‍⚕	1–2 تەرى ءتۇسى, دارىگەر, دارىگەر: 1–2 تەرى ءتۇسى, دەنساۋلىق, مەديتسينا, ەر
👨🏼‍⚕	3-تەرى ءتۇرى, دارىگەر, دارىگەر: 3-تەرى ءتۇرى, دەنساۋلىق, مەديتسينا, ەر
👨🏽‍⚕	4-تەرى ءتۇسى, دارىگەر, دارىگەر: 4-تەرى ءتۇسى, دەنساۋلىق, مەديتسينا, ەر
👨🏾‍⚕	5-تەرى ءتۇسى, دارىگەر, دارىگەر: 5-تەرى ءتۇسى, دەنساۋلىق, مەديتسينا, ەر
👨🏿‍⚕	6-تەرى ءتۇسى, دارىگەر, دارىگەر: 6-تەرى ءتۇسى, دەنساۋلىق, مەديتسينا, ەر
👩‍⚕	ايەل, دارىگەر, دارىگەر ايەل, دەنساۋلىق, مەديتسينا
👩🏻‍⚕	1–2 تەرى ءتۇسى, ايەل, دارىگەر, دارىگەر ايەل: 1–2 تەرى ءتۇسى, دەنساۋلىق, مەديتسينا
👩🏼‍⚕	3-تەرى ءتۇرى, ايەل, دارىگەر, دارىگەر ايەل: 3-تەرى ءتۇرى, دەنساۋلىق, مەديتسينا
👩🏽‍⚕	4-تەرى ءتۇسى, ايەل, دارىگەر, دارىگەر ايەل: 4-تەرى ءتۇسى, دەنساۋلىق, مەديتسينا
👩🏾‍⚕	5-تەرى ءتۇسى, ايەل, دارىگەر, دارىگەر ايەل: 5-تەرى ءتۇسى, دەنساۋلىق, مەديتسينا
👩🏿‍⚕	6-تەرى ءتۇسى, ايەل, دارىگەر, دارىگەر ايەل: 6-تەرى ءتۇسى, دەنساۋلىق, مەديتسينا
🧑‍🎓	تۇلەك, ستۋدەنت, وقۋشى
🧑🏻‍🎓	1–2 تەرى ءتۇسى, تۇلەك, ستۋدەنت, ستۋدەنت: 1–2 تەرى ءتۇسى, وقۋشى
🧑🏼‍🎓	3-تەرى ءتۇرى, تۇلەك, ستۋدەنت, ستۋدەنت: 3-تەرى ءتۇرى, وقۋشى
