‾	forlíne
🤦🏾	a thiarcais, aghaidh, aghaidh ina bos, ar mire, bos, ciaptha, de spadhar, duine lena aghaidh ina bhos, duine lena aghaidh ina bhos: ton cnis meándorcha, gbdo, lámh, ní chreidim, stop, ton cnis meándorcha, ó bhó go deo
🤦🏿	a thiarcais, aghaidh, aghaidh ina bos, ar mire, bos, ciaptha, de spadhar, duine lena aghaidh ina bhos, duine lena aghaidh ina bhos: ton cnis dorcha, gbdo, lámh, ní chreidim, stop, ton cnis dorcha, ó bhó go deo
🤦‍♂	aghaidh i mbos, chan arís, de spadhar, díchreideamh, fear, fear lena aghaidh i mbos, fear lena aghaidh ina bhos, fearann, gbdo, mearú, ní arís, stop, toradh gan choinne, toradh nach rabhthas ag súil leis
🤦🏻‍♂	aghaidh i mbos, chan arís, de spadhar, díchreideamh, fear, fear lena aghaidh i mbos, fear lena aghaidh ina bhos, fear lena aghaidh ina bhos: ton cnis geal, fearann, gbdo, mearú, ní arís, stop, ton cnis geal, toradh gan choinne, toradh nach rabhthas ag súil leis
🤦🏼‍♂	aghaidh i mbos, chan arís, de spadhar, díchreideamh, fear, fear lena aghaidh i mbos, fear lena aghaidh ina bhos, fear lena aghaidh ina bhos: ton cnis mheánach-gheal, fearann, gbdo, mearú, ní arís, stop, ton cnis mheánach-gheal, toradh gan choinne, toradh nach rabhthas ag súil leis
🤦🏽‍♂	aghaidh i mbos, chan arís, de spadhar, díchreideamh, fear, fear lena aghaidh i mbos, fear lena aghaidh ina bhos, fear lena aghaidh ina bhos: ton cnis meánach, fearann, gbdo, mearú, ní arís, stop, ton cnis meánach, toradh gan choinne, toradh nach rabhthas ag súil leis
🤦🏾‍♂	aghaidh i mbos, chan arís, de spadhar, díchreideamh, fear, fear lena aghaidh i mbos, fear lena aghaidh ina bhos, fear lena aghaidh ina bhos: ton cnis meándorcha, fearann, gbdo, mearú, ní arís, stop, ton cnis meándorcha, toradh gan choinne, toradh nach rabhthas ag súil leis
🤦🏿‍♂	aghaidh i mbos, chan arís, de spadhar, díchreideamh, fear, fear lena aghaidh i mbos, fear lena aghaidh ina bhos, fear lena aghaidh ina bhos: ton cnis dorcha, fearann, gbdo, mearú, ní arís, stop, ton cnis dorcha, toradh gan choinne, toradh nach rabhthas ag súil leis
🤦‍♀	aghaidh i mbos, baineann, bean, bean lena haghaidh i mbos, bean lena haghaidh ina bos, buartha, chan arís, díchreideamh, gbdo, imníoch, mearbhall, mearú, ní arís, stop
🤦🏻‍♀	aghaidh i mbos, baineann, bean, bean lena haghaidh i mbos, bean lena haghaidh ina bos, bean lena haghaidh ina bos: ton cnis geal, buartha, chan arís, díchreideamh, gbdo, imníoch, mearbhall, mearú, ní arís, stop, ton cnis geal
🤦🏼‍♀	aghaidh i mbos, baineann, bean, bean lena haghaidh i mbos, bean lena haghaidh ina bos, bean lena haghaidh ina bos: ton cnis mheánach-gheal, buartha, chan arís, díchreideamh, gbdo, imníoch, mearbhall, mearú, ní arís, stop, ton cnis mheánach-gheal
🤦🏽‍♀	aghaidh i mbos, baineann, bean, bean lena haghaidh i mbos, bean lena haghaidh ina bos, bean lena haghaidh ina bos: ton cnis meánach, buartha, chan arís, díchreideamh, gbdo, imníoch, mearbhall, mearú, ní arís, stop, ton cnis meánach
🤦🏾‍♀	aghaidh i mbos, baineann, bean, bean lena haghaidh i mbos, bean lena haghaidh ina bos, bean lena haghaidh ina bos: ton cnis meándorcha, buartha, chan arís, díchreideamh, gbdo, imníoch, mearbhall, mearú, ní arís, stop, ton cnis meándorcha
🤦🏿‍♀	aghaidh i mbos, baineann, bean, bean lena haghaidh i mbos, bean lena haghaidh ina bos, bean lena haghaidh ina bos: ton cnis dorcha, buartha, chan arís, díchreideamh, gbdo, imníoch, mearbhall, mearú, ní arís, stop, ton cnis dorcha
🤷	aineolas, b’fhéidir é, croith, croitheadh, duine ag croitheadh, duine ag croitheadh a ghuaillí, guaillí, neamhshuim, ní bheadh a fhios agat beo, níl a fhios agam, pé ní is dóigh leat
🤷🏻	aineolas, b’fhéidir é, croith, croitheadh, duine ag croitheadh, duine ag croitheadh a ghuaillí, duine ag croitheadh a ghuaillí: ton cnis geal, guaillí, neamhshuim, ní bheadh a fhios agat beo, níl a fhios agam, pé ní is dóigh leat, ton cnis geal
🤷🏼	aineolas, b’fhéidir é, croith, croitheadh, duine ag croitheadh, duine ag croitheadh a ghuaillí, duine ag croitheadh a ghuaillí: ton cnis mheánach-gheal, guaillí, neamhshuim, ní bheadh a fhios agat beo, níl a fhios agam, pé ní is dóigh leat, ton cnis mheánach-gheal
🤷🏽	aineolas, b’fhéidir é, croith, croitheadh, duine ag croitheadh, duine ag croitheadh a ghuaillí, duine ag croitheadh a ghuaillí: ton cnis meánach, guaillí, neamhshuim, ní bheadh a fhios agat beo, níl a fhios agam, pé ní is dóigh leat, ton cnis meánach
🤷🏾	aineolas, b’fhéidir é, croith, croitheadh, duine ag croitheadh, duine ag croitheadh a ghuaillí, duine ag croitheadh a ghuaillí: ton cnis meándorcha, guaillí, neamhshuim, ní bheadh a fhios agat beo, níl a fhios agam, pé ní is dóigh leat, ton cnis meándorcha
🤷🏿	aineolas, b’fhéidir é, croith, croitheadh, duine ag croitheadh, duine ag croitheadh a ghuaillí, duine ag croitheadh a ghuaillí: ton cnis dorcha, guaillí, neamhshuim, ní bheadh a fhios agat beo, níl a fhios agam, pé ní is dóigh leat, ton cnis dorcha
🤷‍♂	aineolas, amhras, b’fhéidir, croitheach guaillí, croitheadh a bhaint as do ghuaillí, croitheadh guaillí, fear, fear ag croitheadh, fear atá ag croitheadh a ghuaillí, is cuma, is cuma liom, neamhshuim, níl a fhios agam
🤷🏻‍♂	aineolas, amhras, b’fhéidir, croitheach guaillí, croitheadh a bhaint as do ghuaillí, croitheadh guaillí, fear, fear ag croitheadh, fear ag croitheadh: ton cnis geal, fear atá ag croitheadh a ghuaillí, is cuma, is cuma liom, neamhshuim, níl a fhios agam, ton cnis geal
🤷🏼‍♂	aineolas, amhras, b’fhéidir, croitheach guaillí, croitheadh a bhaint as do ghuaillí, croitheadh guaillí, fear, fear ag croitheadh, fear ag croitheadh: ton cnis mheánach-gheal, fear atá ag croitheadh a ghuaillí, is cuma, is cuma liom, neamhshuim, níl a fhios agam, ton cnis mheánach-gheal
🤷🏽‍♂	aineolas, amhras, b’fhéidir, croitheach guaillí, croitheadh a bhaint as do ghuaillí, croitheadh guaillí, fear, fear ag croitheadh, fear ag croitheadh: ton cnis meánach, fear atá ag croitheadh a ghuaillí, is cuma, is cuma liom, neamhshuim, níl a fhios agam, ton cnis meánach
🤷🏾‍♂	aineolas, amhras, b’fhéidir, croitheach guaillí, croitheadh a bhaint as do ghuaillí, croitheadh guaillí, fear, fear ag croitheadh, fear ag croitheadh: ton cnis meándorcha, fear atá ag croitheadh a ghuaillí, is cuma, is cuma liom, neamhshuim, níl a fhios agam, ton cnis meándorcha
🤷🏿‍♂	aineolas, amhras, b’fhéidir, croitheach guaillí, croitheadh a bhaint as do ghuaillí, croitheadh guaillí, fear, fear ag croitheadh, fear ag croitheadh: ton cnis dorcha, fear atá ag croitheadh a ghuaillí, is cuma, is cuma liom, neamhshuim, níl a fhios agam, ton cnis dorcha
🤷‍♀	aineolas, aiseolas, amhras, ar nós cuma liom, bean, bean ag coitheadh a guaillí, bean ag croitheadh, buartha, b’fhéidir, croith, croitheadh guaillí, cá bhfios, is cuma, neamhshuim, níl a fhios agam
🤷🏻‍♀	aineolas, aiseolas, amhras, ar nós cuma liom, bean, bean ag coitheadh a guaillí, bean ag croitheadh, bean ag croitheadh: ton cnis geal, buartha, b’fhéidir, croith, croitheadh guaillí, cá bhfios, is cuma, neamhshuim, níl a fhios agam, ton cnis geal
🤷🏼‍♀	aineolas, aiseolas, amhras, ar nós cuma liom, bean, bean ag coitheadh a guaillí, bean ag croitheadh, bean ag croitheadh: ton cnis mheánach-gheal, buartha, b’fhéidir, croith, croitheadh guaillí, cá bhfios, is cuma, neamhshuim, níl a fhios agam, ton cnis mheánach-gheal
🤷🏽‍♀	aineolas, aiseolas, amhras, ar nós cuma liom, bean, bean ag coitheadh a guaillí, bean ag croitheadh, bean ag croitheadh: ton cnis meánach, buartha, b’fhéidir, croith, croitheadh guaillí, cá bhfios, is cuma, neamhshuim, níl a fhios agam, ton cnis meánach
🤷🏾‍♀	aineolas, aiseolas, amhras, ar nós cuma liom, bean, bean ag coitheadh a guaillí, bean ag croitheadh, bean ag croitheadh: ton cnis meándorcha, buartha, b’fhéidir, croith, croitheadh guaillí, cá bhfios, is cuma, neamhshuim, níl a fhios agam, ton cnis meándorcha
🤷🏿‍♀	aineolas, aiseolas, amhras, ar nós cuma liom, bean, bean ag coitheadh a guaillí, bean ag croitheadh, bean ag croitheadh: ton cnis dorcha, buartha, b’fhéidir, croith, croitheadh guaillí, cá bhfios, is cuma, neamhshuim, níl a fhios agam, ton cnis dorcha
🧑‍⚕	oibrí sláinte
🧑🏻‍⚕	oibrí sláinte, oibrí sláinte: ton cnis geal, ton cnis geal
🧑🏼‍⚕	oibrí sláinte, oibrí sláinte: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🧑🏽‍⚕	oibrí sláinte, oibrí sláinte: ton cnis meánach, ton cnis meánach
🧑🏾‍⚕	oibrí sláinte, oibrí sláinte: ton cnis meándorcha, ton cnis meándorcha
🧑🏿‍⚕	oibrí sláinte, oibrí sláinte: ton cnis dorcha, ton cnis dorcha
👨‍⚕	altra, cúram sláinte, dochtúir, fear, lia, oibrí sláinte fireann, teiripeoir
👨🏻‍⚕	altra, cúram sláinte, dochtúir, fear, lia, oibrí sláinte fireann, oibrí sláinte fireann: ton cnis geal, teiripeoir, ton cnis geal
👨🏼‍⚕	altra, cúram sláinte, dochtúir, fear, lia, oibrí sláinte fireann, oibrí sláinte fireann: ton cnis mheánach-gheal, teiripeoir, ton cnis mheánach-gheal
👨🏽‍⚕	altra, cúram sláinte, dochtúir, fear, lia, oibrí sláinte fireann, oibrí sláinte fireann: ton cnis meánach, teiripeoir, ton cnis meánach
👨🏾‍⚕	altra, cúram sláinte, dochtúir, fear, lia, oibrí sláinte fireann, oibrí sláinte fireann: ton cnis meándorcha, teiripeoir, ton cnis meándorcha
👨🏿‍⚕	altra, cúram sláinte, dochtúir, fear, lia, oibrí sláinte fireann, oibrí sláinte fireann: ton cnis dorcha, teiripeoir, ton cnis dorcha
👩‍⚕	altra, banaltra, bean, cúram sláinte, dochtúir, lia, oibrí sláinte baineann, teiripeoir
👩🏻‍⚕	altra, banaltra, bean, cúram sláinte, dochtúir, lia, oibrí sláinte baineann, oibrí sláinte baineann: ton cnis geal, teiripeoir, ton cnis geal
👩🏼‍⚕	altra, banaltra, bean, cúram sláinte, dochtúir, lia, oibrí sláinte baineann, oibrí sláinte baineann: ton cnis mheánach-gheal, teiripeoir, ton cnis mheánach-gheal
👩🏽‍⚕	altra, banaltra, bean, cúram sláinte, dochtúir, lia, oibrí sláinte baineann, oibrí sláinte baineann: ton cnis meánach, teiripeoir, ton cnis meánach
👩🏾‍⚕	altra, banaltra, bean, cúram sláinte, dochtúir, lia, oibrí sláinte baineann, oibrí sláinte baineann: ton cnis meándorcha, teiripeoir, ton cnis meándorcha
👩🏿‍⚕	altra, banaltra, bean, cúram sláinte, dochtúir, lia, oibrí sláinte baineann, oibrí sláinte baineann: ton cnis dorcha, teiripeoir, ton cnis dorcha
🧑‍🎓	mac léinn
🧑🏻‍🎓	mac léinn, mac léinn: ton cnis geal, ton cnis geal
🧑🏼‍🎓	mac léinn, mac léinn: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🧑🏽‍🎓	mac léinn, mac léinn: ton cnis meánach, ton cnis meánach
🧑🏾‍🎓	mac léinn, mac léinn: ton cnis meándorcha, ton cnis meándorcha
🧑🏿‍🎓	mac léinn, mac léinn: ton cnis dorcha, ton cnis dorcha
👨‍🎓	céimí, fear, mac léinn, scoláire fir
👨🏻‍🎓	céimí, fear, mac léinn, scoláire fir, scoláire fir: ton cnis geal, ton cnis geal
👨🏼‍🎓	céimí, fear, mac léinn, scoláire fir, scoláire fir: ton cnis mheánach-gheal, ton cnis mheánach-gheal
👨🏽‍🎓	céimí, fear, mac léinn, scoláire fir, scoláire fir: ton cnis meánach, ton cnis meánach
👨🏾‍🎓	céimí, fear, mac léinn, scoláire fir, scoláire fir: ton cnis meándorcha, ton cnis meándorcha
👨🏿‍🎓	céimí, fear, mac léinn, scoláire fir, scoláire fir: ton cnis dorcha, ton cnis dorcha
👩‍🎓	bean, céimí, mac léinn, scoláire baineann
👩🏻‍🎓	bean, céimí, mac léinn, scoláire baineann, scoláire baineann: ton cnis geal, ton cnis geal
👩🏼‍🎓	bean, céimí, mac léinn, scoláire baineann, scoláire baineann: ton cnis mheánach-gheal, ton cnis mheánach-gheal
👩🏽‍🎓	bean, céimí, mac léinn, scoláire baineann, scoláire baineann: ton cnis meánach, ton cnis meánach
👩🏾‍🎓	bean, céimí, mac léinn, scoláire baineann, scoláire baineann: ton cnis meándorcha, ton cnis meándorcha
👩🏿‍🎓	bean, céimí, mac léinn, scoláire baineann, scoláire baineann: ton cnis dorcha, ton cnis dorcha
🧑‍🏫	múinteoir
🧑🏻‍🏫	múinteoir, múinteoir: ton cnis geal, ton cnis geal
🧑🏼‍🏫	múinteoir, múinteoir: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🧑🏽‍🏫	múinteoir, múinteoir: ton cnis meánach, ton cnis meánach
🧑🏾‍🏫	múinteoir, múinteoir: ton cnis meándorcha, ton cnis meándorcha
🧑🏿‍🏫	múinteoir, múinteoir: ton cnis dorcha, ton cnis dorcha
👨‍🏫	fear, múinteoir fireann, oide, ollamh, teagascóir
👨🏻‍🏫	fear, múinteoir fireann, múinteoir fireann: ton cnis geal, oide, ollamh, teagascóir, ton cnis geal
👨🏼‍🏫	fear, múinteoir fireann, múinteoir fireann: ton cnis mheánach-gheal, oide, ollamh, teagascóir, ton cnis mheánach-gheal
👨🏽‍🏫	fear, múinteoir fireann, múinteoir fireann: ton cnis meánach, oide, ollamh, teagascóir, ton cnis meánach
👨🏾‍🏫	fear, múinteoir fireann, múinteoir fireann: ton cnis meándorcha, oide, ollamh, teagascóir, ton cnis meándorcha
👨🏿‍🏫	fear, múinteoir fireann, múinteoir fireann: ton cnis dorcha, oide, ollamh, teagascóir, ton cnis dorcha
👩‍🏫	bean, múinteoir baineann, oide, ollamh, teagascóir
👩🏻‍🏫	bean, múinteoir baineann, múinteoir baineann: ton cnis geal, oide, ollamh, teagascóir, ton cnis geal
👩🏼‍🏫	bean, múinteoir baineann, múinteoir baineann: ton cnis mheánach-gheal, oide, ollamh, teagascóir, ton cnis mheánach-gheal
👩🏽‍🏫	bean, múinteoir baineann, múinteoir baineann: ton cnis meánach, oide, ollamh, teagascóir, ton cnis meánach
👩🏾‍🏫	bean, múinteoir baineann, múinteoir baineann: ton cnis meándorcha, oide, ollamh, teagascóir, ton cnis meándorcha
👩🏿‍🏫	bean, múinteoir baineann, múinteoir baineann: ton cnis dorcha, oide, ollamh, teagascóir, ton cnis dorcha
🧑‍⚖	breitheamh
🧑🏻‍⚖	breitheamh, breitheamh: ton cnis geal, ton cnis geal
🧑🏼‍⚖	breitheamh, breitheamh: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🧑🏽‍⚖	breitheamh, breitheamh: ton cnis meánach, ton cnis meánach
🧑🏾‍⚖	breitheamh, breitheamh: ton cnis meándorcha, ton cnis meándorcha
🧑🏿‍⚖	breitheamh, breitheamh: ton cnis dorcha, ton cnis dorcha
👨‍⚖	breitheamh, breitheamh fireann, ceartas, fear, meá
👨🏻‍⚖	breitheamh, breitheamh fireann, breitheamh fireann: ton cnis geal, ceartas, fear, meá, ton cnis geal
👨🏼‍⚖	breitheamh, breitheamh fireann, breitheamh fireann: ton cnis mheánach-gheal, ceartas, fear, meá, ton cnis mheánach-gheal
👨🏽‍⚖	breitheamh, breitheamh fireann, breitheamh fireann: ton cnis meánach, ceartas, fear, meá, ton cnis meánach
👨🏾‍⚖	breitheamh, breitheamh fireann, breitheamh fireann: ton cnis meándorcha, ceartas, fear, meá, ton cnis meándorcha
👨🏿‍⚖	breitheamh, breitheamh fireann, breitheamh fireann: ton cnis dorcha, ceartas, fear, meá, ton cnis dorcha
👩‍⚖	bean, breitheamh, breitheamh baineann, meá
👩🏻‍⚖	bean, breitheamh, breitheamh baineann, breitheamh baineann: ton cnis geal, meá, ton cnis geal
👩🏼‍⚖	bean, breitheamh, breitheamh baineann, breitheamh baineann: ton cnis mheánach-gheal, meá, ton cnis mheánach-gheal
👩🏽‍⚖	bean, breitheamh, breitheamh baineann, breitheamh baineann: ton cnis meánach, meá, ton cnis meánach
👩🏾‍⚖	bean, breitheamh, breitheamh baineann, breitheamh baineann: ton cnis meándorcha, meá, ton cnis meándorcha
👩🏿‍⚖	bean, breitheamh, breitheamh baineann, breitheamh baineann: ton cnis dorcha, meá, ton cnis dorcha
🧑‍🌾	feirmeoir
🧑🏻‍🌾	feirmeoir, feirmeoir: ton cnis geal, ton cnis geal
🧑🏼‍🌾	feirmeoir, feirmeoir: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🧑🏽‍🌾	feirmeoir, feirmeoir: ton cnis meánach, ton cnis meánach
🧑🏾‍🌾	feirmeoir, feirmeoir: ton cnis meándorcha, ton cnis meándorcha
🧑🏿‍🌾	feirmeoir, feirmeoir: ton cnis dorcha, ton cnis dorcha
👨‍🌾	fear, feirmeoir, feirmeoir fireann, garraíodóir, rainseoir
👨🏻‍🌾	fear, feirmeoir, feirmeoir fireann, feirmeoir fireann: ton cnis geal, garraíodóir, rainseoir, ton cnis geal
👨🏼‍🌾	fear, feirmeoir, feirmeoir fireann, feirmeoir fireann: ton cnis mheánach-gheal, garraíodóir, rainseoir, ton cnis mheánach-gheal
👨🏽‍🌾	fear, feirmeoir, feirmeoir fireann, feirmeoir fireann: ton cnis meánach, garraíodóir, rainseoir, ton cnis meánach
👨🏾‍🌾	fear, feirmeoir, feirmeoir fireann, feirmeoir fireann: ton cnis meándorcha, garraíodóir, rainseoir, ton cnis meándorcha
👨🏿‍🌾	fear, feirmeoir, feirmeoir fireann, feirmeoir fireann: ton cnis dorcha, garraíodóir, rainseoir, ton cnis dorcha
👩‍🌾	bean, feirmeoir, feirmeoir baineann, garraíodóir, rainseoir
👩🏻‍🌾	bean, feirmeoir, feirmeoir baineann, feirmeoir baineann: ton cnis geal, garraíodóir, rainseoir, ton cnis geal
👩🏼‍🌾	bean, feirmeoir, feirmeoir baineann, feirmeoir baineann: ton cnis mheánach-gheal, garraíodóir, rainseoir, ton cnis mheánach-gheal
👩🏽‍🌾	bean, feirmeoir, feirmeoir baineann, feirmeoir baineann: ton cnis meánach, garraíodóir, rainseoir, ton cnis meánach
👩🏾‍🌾	bean, feirmeoir, feirmeoir baineann, feirmeoir baineann: ton cnis meándorcha, garraíodóir, rainseoir, ton cnis meándorcha
👩🏿‍🌾	bean, feirmeoir, feirmeoir baineann, feirmeoir baineann: ton cnis dorcha, garraíodóir, rainseoir, ton cnis dorcha
🧑‍🍳	cócaire
🧑🏻‍🍳	cócaire, cócaire: ton cnis geal, ton cnis geal
🧑🏼‍🍳	cócaire, cócaire: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🧑🏽‍🍳	cócaire, cócaire: ton cnis meánach, ton cnis meánach
